I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcublas.so.7.5 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcudnn.so.5 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcufft.so.7.5 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcurand.so.7.5 locally
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:910] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties: 
name: Tesla K80
major: 3 minor: 7 memoryClockRate (GHz) 0.8235
pciBusID 0000:00:1e.0
Total memory: 11.17GiB
Free memory: 11.11GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:906] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla K80, pci bus id: 0000:00:1e.0)
Created training directory cv
reading train
reading valid
reading test

actual longest token length is: 21
size of word vocabulary: 10000
size of char vocabulary: 51
number of tokens in train: 929589
number of tokens in valid: 73760
number of tokens in test: 82430
initialized all dataset readers
Created and initialized fresh model. Size: 14019865
     5: 0 [    5/ 1327], train_loss/perplexity = 7.95668507/2854.5944824 secs/batch = 0.2645s, grad.norm=10.12496281
    10: 0 [   10/ 1327], train_loss/perplexity = 15.96720123/8599385.0000000 secs/batch = 0.2648s, grad.norm=281.79187012
    15: 0 [   15/ 1327], train_loss/perplexity = 7.73785973/2293.5583496 secs/batch = 0.2664s, grad.norm=11.79969597
    20: 0 [   20/ 1327], train_loss/perplexity = 7.59385586/1985.9562988 secs/batch = 0.2647s, grad.norm=9.85819912
    25: 0 [   25/ 1327], train_loss/perplexity = 7.45497894/1728.4476318 secs/batch = 0.2655s, grad.norm=8.28738689
    30: 0 [   30/ 1327], train_loss/perplexity = 7.14322472/1265.5026855 secs/batch = 0.2649s, grad.norm=15.61296654
    35: 0 [   35/ 1327], train_loss/perplexity = 7.38891268/1617.9459229 secs/batch = 0.2651s, grad.norm=13.46753216
    40: 0 [   40/ 1327], train_loss/perplexity = 7.12273788/1239.8403320 secs/batch = 0.2659s, grad.norm=7.63151836
    45: 0 [   45/ 1327], train_loss/perplexity = 6.89349556/985.8414917 secs/batch = 0.2657s, grad.norm=6.61496592
    50: 0 [   50/ 1327], train_loss/perplexity = 7.03089952/1131.0476074 secs/batch = 0.2656s, grad.norm=8.62851143
    55: 0 [   55/ 1327], train_loss/perplexity = 7.23561144/1387.9892578 secs/batch = 0.2644s, grad.norm=7.66588068
    60: 0 [   60/ 1327], train_loss/perplexity = 7.06224966/1167.0677490 secs/batch = 0.2639s, grad.norm=6.07050657
    65: 0 [   65/ 1327], train_loss/perplexity = 6.96372032/1057.5606689 secs/batch = 0.2659s, grad.norm=9.68289757
    70: 0 [   70/ 1327], train_loss/perplexity = 7.02463484/1123.9840088 secs/batch = 0.2654s, grad.norm=23.57067680
    75: 0 [   75/ 1327], train_loss/perplexity = 6.82285690/918.6056519 secs/batch = 0.2654s, grad.norm=9.20359421
    80: 0 [   80/ 1327], train_loss/perplexity = 6.95333004/1046.6292725 secs/batch = 0.2661s, grad.norm=16.67199516
    85: 0 [   85/ 1327], train_loss/perplexity = 7.52412128/1852.1849365 secs/batch = 0.2660s, grad.norm=35.45649338
    90: 0 [   90/ 1327], train_loss/perplexity = 6.83877516/933.3452148 secs/batch = 0.2648s, grad.norm=4.53734112
    95: 0 [   95/ 1327], train_loss/perplexity = 6.86173534/955.0229492 secs/batch = 0.2638s, grad.norm=4.19577980
   100: 0 [  100/ 1327], train_loss/perplexity = 6.96671152/1060.7288818 secs/batch = 0.2650s, grad.norm=5.23812723
   105: 0 [  105/ 1327], train_loss/perplexity = 7.03761673/1138.6706543 secs/batch = 0.2660s, grad.norm=5.00012445
   110: 0 [  110/ 1327], train_loss/perplexity = 6.71138811/821.7104492 secs/batch = 0.2660s, grad.norm=5.71051884
   115: 0 [  115/ 1327], train_loss/perplexity = 6.71024752/820.7737427 secs/batch = 0.2657s, grad.norm=9.62715149
   120: 0 [  120/ 1327], train_loss/perplexity = 6.90264416/994.9019165 secs/batch = 0.2672s, grad.norm=4.71218681
   125: 0 [  125/ 1327], train_loss/perplexity = 6.89749050/989.7877197 secs/batch = 0.2661s, grad.norm=4.14779186
   130: 0 [  130/ 1327], train_loss/perplexity = 6.95316887/1046.4605713 secs/batch = 0.2652s, grad.norm=5.52457476
   135: 0 [  135/ 1327], train_loss/perplexity = 6.73902798/844.7392578 secs/batch = 0.2669s, grad.norm=5.98559141
   140: 0 [  140/ 1327], train_loss/perplexity = 7.05164051/1154.7515869 secs/batch = 0.2662s, grad.norm=4.45540714
   145: 0 [  145/ 1327], train_loss/perplexity = 6.95454979/1047.9066162 secs/batch = 0.2661s, grad.norm=6.60202026
   150: 0 [  150/ 1327], train_loss/perplexity = 6.97134447/1065.6545410 secs/batch = 0.2639s, grad.norm=12.79884720
   155: 0 [  155/ 1327], train_loss/perplexity = 6.95300770/1046.2918701 secs/batch = 0.2675s, grad.norm=5.06891060
   160: 0 [  160/ 1327], train_loss/perplexity = 6.50923300/671.3113403 secs/batch = 0.2651s, grad.norm=4.46150303
   165: 0 [  165/ 1327], train_loss/perplexity = 6.71616793/825.6475220 secs/batch = 0.2667s, grad.norm=4.23602676
   170: 0 [  170/ 1327], train_loss/perplexity = 6.86359406/956.7996826 secs/batch = 0.2663s, grad.norm=4.07730436
   175: 0 [  175/ 1327], train_loss/perplexity = 6.95164919/1044.8714600 secs/batch = 0.2664s, grad.norm=4.26910639
